Klasse;Vorname;Name;E-Mail
5.1;Annika;Sonnenberg;annika.sonnenberg@example.org
5.1;Bernd;Kastanienbaum;bernd.kastanienbaum@example.org
6.1;Cordula;Weidenbach;cordula.weidenbach@example.org
6.1;Dimitrios;Falkenhain;dimitrios.falkenhain@example.org
7.1;Eva;Morgentau;eva.morgentau@example.org
7.1;Farid;Blumenthal;farid.blumenthal@example.org
7.2;Grete;Hollerbusch;grete.hollerbusch@example.org
7.2;Hendrik;Silbermond;hendrik.silbermond@example.org
8.1;Ilka;Rabenstein;ilka.rabenstein@example.org
8.1;Jonas;Wiesengrund;jonas.wiesengrund@example.org
9.1;Katrin;Nebelhorn;katrin.nebelhorn@example.org
9.1;Lennart;Distelfink;lennart.distelfink@example.org
10.1;Miriam;Ahornblatt;miriam.ahornblatt@example.org
10.1;Nuri;Sandkorn;nuri.sandkorn@example.org
11;Olga;Lerchenfeld;olga.lerchenfeld@example.org
11;Piet;Wolkenstein;piet.wolkenstein@example.org
12;Quirin;Haselnuss;quirin.haselnuss@example.org
12;Rosa;Tannenbusch;rosa.tannenbusch@example.org
